,County_of_Origin,Period,GenderDescription,AgeClassDescription,Average_BusUsers_per_Day,Avg_BusUsers_Daily_to_Lisboa,Avg_BusUsers_Daily_to_Loures,Avg_BusUsers_Daily_to_Oeiras,Avg_BusUsers_Daily_to_Almada,Avg_BusUsers_Daily_to_Amadora,Avg_BusUsers_Daily_to_Odivelas,Avg_BusUsers_Daily_to_Porto,Avg_BusUsers_Daily_to_Matosinhos,Avg_BusUsers_Daily_to_Vila nova de gaia,Avg_BusUsers_Daily_to_Gondomar,Avg_BusUsers_Daily_to_Maia,Avg_BusUsers_Daily_to_Valongo,Avg_BusUsers_Daily_to_Paredes,Avg_BusUsers_Daily_to_Santo tirso
0,Alcochete,Sep-19 to Feb-20,Female,25-34,47.734735,47.24793617246999,0.386890027175,0.057711294615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Alcochete,Sep-19 to Feb-20,Female,45-54,42.712664000000004,42.277080252527995,0.34618614172,0.051639610776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Alcochete,Sep-19 to Feb-20,Male,35-44,148.504551,146.99010158890198,1.2036293858549998,0.17954200215899999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Alcochete,Sep-20 to Jan-21,Female,55-64,34.201745,33.85295560449,0.277205143225,0.041349909705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Alcochete,Sep-20 to Jan-21,Male,35-44,157.793211,156.184035834222,1.278913975155,0.190771992099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Alcochete,Sep-20 to Jan-21,Male,55-64,37.446537,37.064657215673996,0.303504182385,0.045272863233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Almada,Sep-19 to Feb-20,Female,15-24,76.98526,76.23296003928,0.08606952068000003,0.0,0.5346626307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Almada,Sep-19 to Feb-20,Female,25-34,529.797711,524.6205277681081,0.5923138408980002,0.0,3.6794451028950004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Almada,Sep-19 to Feb-20,Female,35-44,1113.117185,1102.2398038681802,1.2444650128300003,0.0,7.730598849825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Almada,Sep-19 to Feb-20,Female,45-54,701.945176,695.0857677401281,0.7847747067680001,0.0,4.8750092473199995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Almada,Sep-19 to Feb-20,Female,55-64,1539.05817,1524.01849356276,1.7206670340600005,0.0,10.68875899065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Almada,Sep-19 to Feb-20,Male,15-24,1140.502352,1129.3573630162562,1.2750816295360003,0.0,7.92078883464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Almada,Sep-19 to Feb-20,Male,25-34,17.528597,17.357307550116005,0.019596971446000006,0.0,0.12173610616500001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Almada,Sep-19 to Feb-20,Male,35-44,567.133667,561.591636806076,0.6340554397060001,0.0,3.9387433173149997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Almada,Sep-19 to Feb-20,Male,45-54,734.437908,727.2609807630241,0.8211015811440002,0.0,5.1006712710599995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Almada,Sep-19 to Feb-20,Male,55-64,1153.217952,1141.948706173056,1.2892976703360004,0.0,8.009098676639999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Almada,Sep-19 to Feb-20,Male,65+,754.4786389999999,747.105873739692,0.8435071184020001,0.0,5.239854147855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Almada,Sep-20 to Jan-21,Female,15-24,184.17150900000001,182.37178501405202,0.20590374706200007,0.0,1.2790711300050002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Almada,Sep-20 to Jan-21,Female,25-34,405.646595,401.68261647366006,0.4535128932100001,0.0,2.8172156022749997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Almada,Sep-20 to Jan-21,Female,35-44,479.57425599999993,474.887856370368,0.5361640182080001,0.0,3.3306432079199992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Almada,Sep-20 to Jan-21,Female,45-54,321.825519,318.680640028332,0.35980093024200005,0.0,2.235078229455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Almada,Sep-20 to Jan-21,Female,55-64,675.965262,669.3597294597362,0.7557291629160002,0.0,4.69457874459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Almada,Sep-20 to Jan-21,Male,15-24,381.95058,378.21815893224004,0.4270207484400001,0.0,2.6526467781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Almada,Sep-20 to Jan-21,Male,25-34,497.58813899999996,492.725707705692,0.5563035394020001,0.0,3.4557496253549997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Almada,Sep-20 to Jan-21,Male,35-44,768.014057,760.5090236349961,0.8586397157260002,0.0,5.333857625865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Almada,Sep-20 to Jan-21,Male,45-54,589.356141,583.5969527901481,0.6589001656380001,0.0,4.093078399245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Almada,Sep-20 to Jan-21,Male,55-64,1059.492103,1049.1387461694842,1.1845121711540003,0.0,7.358172655335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Almada,Sep-20 to Jan-21,Male,65+,1903.3433420000001,1884.7438708619763,2.1279378563560005,0.0,13.21871951019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Amadora,Sep-19 to Feb-20,Female,15-24,294.194206,268.81877895567607,0.527196017152,6.937393571686001,0.0,17.383935632540002,0.302431643768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Amadora,Sep-19 to Feb-20,Female,25-34,1081.652817,988.3559349224821,1.938321848064,25.506455077677,0.0,63.914864956529996,1.111939095876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Amadora,Sep-19 to Feb-20,Female,35-44,235.83665299999998,215.49479833213803,0.42261928217600003,5.5612641143929995,0.0,13.93558782577,0.242440079284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Amadora,Sep-19 to Feb-20,Female,45-54,840.951323,768.4159075859582,1.5069847708160002,19.830473147663,0.0,49.691813676070005,0.864497960044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Amadora,Sep-19 to Feb-20,Female,55-64,1216.148092,1111.250454472632,2.179337380864,28.677988157452,0.0,71.86219075628,1.250200238576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Amadora,Sep-19 to Feb-20,Male,15-24,1148.427051,1049.3706241430461,2.057981275392,27.081058289631,0.0,67.86055444359,1.180583008428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Amadora,Sep-19 to Feb-20,Male,25-34,421.94018,385.5461517142801,0.75611680256,9.94977138458,0.0,24.932445236200003,0.43375450504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Amadora,Sep-19 to Feb-20,Male,35-44,137.697607,125.82063760582203,0.24675411174400003,3.247047270667,0.0,8.136551597630001,0.141553139996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Amadora,Sep-19 to Feb-20,Male,45-54,617.693161,564.4146550911062,1.106906144512,14.565822429541,0.0,36.49948888349,0.6349885695080001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Amadora,Sep-19 to Feb-20,Male,55-64,867.4819130000001,792.6581280760983,1.5545275880960003,20.456090990453003,0.0,51.25950623917001,0.8917714065640001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Amadora,Sep-19 to Feb-20,Male,65+,1612.851365,1473.7364833632903,2.8902296460800003,38.032648038065,0.0,95.30338715785001,1.65801120322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Amadora,Sep-20 to Jan-21,Female,15-24,536.005174,489.7725837218041,0.9605212718080002,12.639538008094,0.0,31.67254573166,0.551013318872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Amadora,Sep-20 to Jan-21,Female,25-34,408.068335,372.8708088329101,0.7312584563200001,9.622659407635,0.0,24.112757915150002,0.41949424838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Amadora,Sep-20 to Jan-21,Female,35-44,478.337192,437.0786958412321,0.8571802480640002,11.279669324552001,0.0,28.264944675280002,0.49173063337600004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Amadora,Sep-20 to Jan-21,Female,45-54,571.192813,521.9251481074981,1.023577520896,13.469297723353002,0.0,33.75178332017,0.587186211764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Amadora,Sep-20 to Jan-21,Female,55-64,741.072367,677.1519110567821,1.3280016816640001,17.475227486227002,0.0,43.78996616603,0.761822393276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Amadora,Sep-20 to Jan-21,Female,65+,72.443781,66.19521511362602,0.12981925555200002,1.7082967997610001,0.0,4.280703019290001,0.074472206868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Amadora,Sep-20 to Jan-21,Male,15-24,647.053324,591.2423865917041,1.159519556608,15.258164433244,0.0,38.23438091516,0.665170817072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Amadora,Sep-20 to Jan-21,Male,25-34,263.16688500000004,240.4676885012101,0.4715950579200001,6.205738315185001,0.0,15.550531234650004,0.27053555778000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Amadora,Sep-20 to Jan-21,Male,35-44,723.5618509999999,661.1517471038461,1.296622836992,17.062312008431,0.0,42.75526977559,0.7438215828279999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Amadora,Sep-20 to Jan-21,Male,45-54,794.108294,725.6132772093241,1.423042062848,18.725867680814,0.0,46.923859092460006,0.816343326232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Amadora,Sep-20 to Jan-21,Male,55-64,658.293137,601.5127207612021,1.179661301504,15.523210463597001,0.0,38.898541465330005,0.676725344836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Amadora,Sep-20 to Jan-21,Male,65+,1092.59348,998.3529219760802,1.9579275161600003,25.764446851880002,0.0,64.5613487332,1.12318609744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Barreiro,Sep-19 to Feb-20,Female,25-34,154.14296299999998,152.148044772854,0.21133000227299997,1.1516020765729997,0.0,0.321850506744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Barreiro,Sep-19 to Feb-20,Female,35-44,216.209564,213.41137982271204,0.29642331224400004,1.6153016526439998,0.0,0.4514455696320001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Barreiro,Sep-19 to Feb-20,Female,45-54,142.916866,141.06723592022803,0.195939023286,1.067731905886,0.0,0.2984104162080001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Barreiro,Sep-19 to Feb-20,Female,55-64,592.69902,585.0283092831602,0.8125903564200001,4.42805437842,0.0,1.2375555537600003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Barreiro,Sep-19 to Feb-20,Female,65+,6863.5088989999995,6774.681366829143,9.409870700529,51.27727498442899,0.0,14.331006581112002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Barreiro,Sep-19 to Feb-20,Male,25-34,250.72783700000002,247.48291733354608,0.343747864527,1.873187670227,0.0,0.5235197236560002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Barreiro,Sep-19 to Feb-20,Male,35-44,269.762879,266.2716078199821,0.36984490710900003,2.015398469009,0.0,0.5632648913520001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Barreiro,Sep-19 to Feb-20,Male,45-54,159.13710700000001,157.07755456120606,0.21817697369700004,1.188913326397,0.0,0.3322782794160001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Barreiro,Sep-19 to Feb-20,Male,55-64,138.42494,136.63344442652001,0.18978059274,1.0341727267399998,0.0,0.28903127472000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Barreiro,Sep-20 to Jan-21,Female,25-34,58.338981999999994,57.583958894956005,0.07998274432199999,0.4358505345219999,0.0,0.12181179441600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Barreiro,Sep-20 to Jan-21,Female,35-44,180.985328,178.64301588502406,0.24813088468800001,1.352141385488,0.0,0.3778973648640001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Barreiro,Sep-20 to Jan-21,Female,45-54,61.886258999999995,61.08532703602201,0.084846061089,0.4623522409889999,0.0,0.12921850879200003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Barreiro,Sep-20 to Jan-21,Female,55-64,25.425953,25.096890316274006,0.034858981563,0.18995729486299998,0.0,0.05308938986400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Barreiro,Sep-20 to Jan-21,Female,65+,4419.364506,4362.169090563349,6.058948737726,33.01707222432599,0.0,9.227633088528002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Barreiro,Sep-20 to Jan-21,Male,15-24,481.84079199999996,475.6048084699361,0.660603725832,3.5998325570319993,0.0,1.006083573696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Barreiro,Sep-20 to Jan-21,Male,35-44,77.071636,76.07417488688802,0.105665212956,0.575802192556,0.0,0.16092557596800003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Barreiro,Sep-20 to Jan-21,Male,45-54,31.283509000000002,30.87863782652201,0.042889690839,0.233719095739,0.0,0.06531996679200001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Barreiro,Sep-20 to Jan-21,Male,55-64,372.782113,367.9575668935541,0.511084276923,2.7850551662229996,0.0,0.7783690519440001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Cascais,Sep-19 to Feb-20,Female,15-24,745.379537,719.8092919832151,1.2790712854919999,14.461853776874003,0.0,7.581255270826999,0.0,1.1270138599440003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Cascais,Sep-19 to Feb-20,Female,25-34,919.144204,887.61296208178,1.5772514540639995,17.833235846008,0.0,9.348615698883997,0.0,1.3897460364480003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Cascais,Sep-19 to Feb-20,Female,35-44,816.414391,788.407295316745,1.4009670949559998,15.840072014182002,0.0,8.303750770860999,0.0,1.2344185591920003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Cascais,Sep-19 to Feb-20,Female,45-54,970.140963,936.8602772642852,1.6647618925079997,18.822674964126005,0.0,9.867303734672998,0.0,1.4668531360560004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Cascais,Sep-19 to Feb-20,Female,55-64,756.4081769999999,730.459594488015,1.2979964317319996,14.675831450154,0.0,7.693427568266998,0.0,1.143689163624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Cascais,Sep-19 to Feb-20,Female,65+,2017.333975,1948.1293329876253,3.461745101099999,39.14031378295,0.0,20.518303859724995,0.0,3.050208970200001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Cascais,Sep-19 to Feb-20,Male,15-24,4548.093582,4392.071231669491,7.804528586711999,88.24211167796402,0.0,46.25865982252199,0.0,6.8767174959840025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Cascais,Sep-19 to Feb-20,Male,25-34,298.292615,288.05968684242504,0.5118701273399999,5.787473316230001,0.0,3.0339341871649994,0.0,0.4510184338800001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Cascais,Sep-19 to Feb-20,Male,35-44,439.30142300000006,424.23118768398507,0.753841241868,8.523326209046003,0.0,4.4681347733329995,0.0,0.6642237515760002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Cascais,Sep-19 to Feb-20,Male,45-54,690.807533,667.1093805804351,1.1854257266279997,13.403047755266002,0.0,7.026203418142999,0.0,1.0445009898960003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Cascais,Sep-19 to Feb-20,Male,55-64,822.493709,794.2780623127551,1.4113992046439996,15.958022942018001,0.0,8.365583514238997,0.0,1.2436104880080001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Cascais,Sep-20 to Jan-21,Female,15-24,352.976908,340.86803517106,0.6057083741279998,6.848457969016001,0.0,3.590128131267999,0.0,0.5337010848960001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Cascais,Sep-20 to Jan-21,Female,25-34,496.35295599999995,479.32556784442,0.8517416724959997,9.630240052312,0.0,5.048405915475998,0.0,0.7504856694720001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Cascais,Sep-20 to Jan-21,Female,35-44,451.27913099999995,435.798000411045,0.7743949887959998,8.755717699662,0.0,4.589960041400999,0.0,0.6823340460720001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Cascais,Sep-20 to Jan-21,Female,45-54,670.410921,647.4124743550951,1.1504251404359997,13.007312689242003,0.0,6.818749477490999,0.0,1.0136613125520002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Cascais,Sep-20 to Jan-21,Female,55-64,345.732856,333.87249037492006,0.5932775808959999,6.707908872112001,0.0,3.5164488783759995,0.0,0.5227480782720002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Cascais,Sep-20 to Jan-21,Female,65+,1308.845537,1263.945590853215,2.2459789414919995,25.394221108874003,0.0,13.312267956826997,0.0,1.9789744519440002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Cascais,Sep-20 to Jan-21,Male,15-24,1253.4096029999998,1210.411386569085,2.1508508787479994,24.318653117406,0.0,12.748429072112996,0.0,1.895155319736,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Cascais,Sep-20 to Jan-21,Male,25-34,446.840084,431.51123491838,0.7667775841439998,8.669591309768,0.0,4.544810494363999,0.0,0.6756222070080001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Cascais,Sep-20 to Jan-21,Male,35-44,251.980385,243.33619789257503,0.43239834065999994,4.888923429770001,0.0,2.5628924958349995,0.0,0.3809943421200001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Cascais,Sep-20 to Jan-21,Male,45-54,572.718581,553.0714700787951,0.9827850849959997,11.111885908562002,0.0,5.825120687350998,0.0,0.8659504944720001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Cascais,Sep-20 to Jan-21,Male,55-64,487.652569,470.9236476204551,0.8368118084039998,9.461435143738003,0.0,4.959914279298999,0.0,0.7373306843280002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Cascais,Sep-20 to Jan-21,Male,65+,54.954584,53.06936699588,0.09430206614399997,1.0662288387680001,0.0,0.5589430738639999,0.0,0.08309133100800001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Espinho,Sep-19 to Feb-20,Female,25-34,282.382257,6.595884759005999,0.0,0.0,0.0,0.0,0.0,241.62489631816197,8.148987172505999,25.671370983869995,0.0,0.0,0.0,0.0,0.0
93,Espinho,Sep-19 to Feb-20,Female,35-44,112.20906599999999,2.620979363628,0.0,0.0,0.0,0.0,0.0,96.01348266795598,3.2381292266279997,10.200926190059999,0.0,0.0,0.0,0.0,0.0
94,Espinho,Sep-19 to Feb-20,Male,25-34,324.282029,7.574579633382001,0.0,0.0,0.0,0.0,0.0,277.47710662631397,9.358130792882,29.480479256389998,0.0,0.0,0.0,0.0,0.0
95,Espinho,Sep-20 to Jan-21,Female,25-34,104.283311,2.435849578338,0.0,0.0,0.0,0.0,0.0,89.231683590126,3.0094077888379998,9.48039580301,0.0,0.0,0.0,0.0,0.0
96,Espinho,Sep-20 to Jan-21,Female,35-44,75.527831,1.764179076498,0.0,0.0,0.0,0.0,0.0,64.626597040446,2.179582146998,6.8662351162099995,0.0,0.0,0.0,0.0,0.0
97,Espinho,Sep-20 to Jan-21,Female,55-64,45.366934,1.059680844372,0.0,0.0,0.0,0.0,0.0,38.818942948044,1.309198981372,4.124307969939999,0.0,0.0,0.0,0.0,0.0
98,Espinho,Sep-20 to Jan-21,Male,25-34,197.786218,4.619890480044,0.0,0.0,0.0,0.0,0.0,169.238942011188,5.707714679043999,17.980745078379996,0.0,0.0,0.0,0.0,0.0
99,Gondomar,Sep-19 to Feb-20,Female,15-24,572.388784,2.093225783088,0.0,0.0,0.0,0.0,0.0,369.78605001535993,31.777308121327998,25.646451855904008,135.592034264192,4.230525502543999,3.0977680990080003,0.0,0.0
100,Gondomar,Sep-19 to Feb-20,Female,25-34,343.643229,1.256703288453,0.0,0.0,0.0,0.0,0.0,222.00727166316,19.078041144393,15.397278518574005,81.404957231352,2.539867105539,1.8597971553480004,0.0,0.0
101,Gondomar,Sep-19 to Feb-20,Female,35-44,847.476573,3.099221827461,0.0,0.0,0.0,0.0,0.0,547.50376522092,47.049356903241,37.972035329838015,200.757030424824,6.263699351043,4.586543213076001,0.0,0.0
102,Gondomar,Sep-19 to Feb-20,Female,45-54,832.964612,3.046151586084,0.0,0.0,0.0,0.0,0.0,538.12845793648,46.243696364403995,37.32181240527201,197.31932100745598,6.156441447291999,4.508004480144001,0.0,0.0
103,Gondomar,Sep-19 to Feb-20,Female,65+,66882.208463,244.58823634919102,0.0,0.0,0.0,0.0,0.0,43208.581955436515,3713.099567240371,2996.724232393179,15843.592598383144,494.32640275003297,361.9665122017561,0.0,0.0
104,Gondomar,Sep-19 to Feb-20,Male,15-24,49.269538,0.18017870046599999,0.0,0.0,0.0,0.0,0.0,31.830092329519996,2.7352969411459997,2.2075709196280004,11.671362317743998,0.3641511553579999,0.26664673965600005,0.0,0.0
105,Gondomar,Sep-19 to Feb-20,Male,25-34,882.3420279999999,3.2267247963959997,0.0,0.0,0.0,0.0,0.0,570.0282437691199,48.98498236847599,39.534216906568005,209.01623832886398,6.521389928947999,4.775235055536,0.0,0.0
106,Gondomar,Sep-19 to Feb-20,Male,35-44,342.1531,1.2512538867,0.0,0.0,0.0,0.0,0.0,221.04458872399996,18.9953136527,15.330511798600003,81.05196355279999,2.5288535620999997,1.8517325772000004,0.0,0.0
107,Gondomar,Sep-19 to Feb-20,Male,45-54,1549.7840640000002,5.667560322048001,0.0,0.0,0.0,0.0,0.0,1001.22249670656,86.039361881088,69.43962477158402,367.12524735283205,11.454454017024,8.387431354368003,0.0,0.0
108,Gondomar,Sep-19 to Feb-20,Male,55-64,3561.84035,13.02565015995,0.0,0.0,0.0,0.0,0.0,2301.091339714,197.74269071094997,159.59181872210004,843.7572368307999,26.325562026849997,19.276679974200004,0.0,0.0
109,Gondomar,Sep-19 to Feb-20,Male,65+,7947.050672,29.062364307504,0.0,0.0,0.0,0.0,0.0,5134.11261613888,441.196412157424,356.0755524096321,1882.560939588736,58.736651516752,43.00943823686401,0.0,0.0
